PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10354142,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10354142 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10354142 available
General Inquiry,Technical Query..,Auto close by sub tt:10297181,Not available,Technical Query,Field Support,call from reg number,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10297181 call from reg number,general inquiry technical query.. technical query field support auto close sub tt:10297181 call reg number
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10209850,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10209850 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10209850 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10209871,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10209871 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10209871 available
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10293871,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10293871 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10293871 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10339099,Not available,Account extend request,Field Support,suggested to pay,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10339099 suggested to pay,account related issue account extend request.. account extend request field support auto close sub tt:10339099 suggested pay
IPTV Related Issues,NETTV extend request..,Auto close by sub tt:10292311,Not available,NETTV extend request,Field Support,(00226DA5C466) Package subscribed Successfully. Copy of invoice has been send to N/A. Thank you.,IPTV Related Issues NETTV extend request.. NETTV extend request Field Support Auto close by sub tt:10292311 (00226DA5C466) Package subscribed Successfully. Copy of invoice has been send to N/A. Thank you.,iptv related issue nettv extend request.. nettv extend request field support auto close sub tt:10292311 (00226da5c466) package subscribed successfully. copy invoice send n/a. thank you.
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10219950,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10219950 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10219950 available
Accounts Related Issue,Refer Offer Query...,Auto close by sub tt:10316867,Not available,Refer Offer Query.,Field Support,Not available,Accounts Related Issue Refer Offer Query... Refer Offer Query. Field Support Auto close by sub tt:10316867 Not available,account related issue refer offer query... refer offer query. field support auto close sub tt:10316867 available
General Inquiry,Client wants to add/replacerou..,Auto close by sub tt:10274929,Not available,Client wants to add/replacerouter,Field Support,Not available,General Inquiry Client wants to add/replacerou.. Client wants to add/replacerouter Field Support Auto close by sub tt:10274929 Not available,general inquiry client want add/replacerou.. client want add/replacerouter field support auto close sub tt:10274929 available
IPTV Related Issues,Hardware related issue..,Auto close by sub tt:10293718,Not available,Hardware related issue,Field Support,Not available,IPTV Related Issues Hardware related issue.. Hardware related issue Field Support Auto close by sub tt:10293718 Not available,iptv related issue hardware related issue.. hardware related issue field support auto close sub tt:10293718 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10293722,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10293722 Not available,account related issue query packages.. query package field support auto close sub tt:10293722 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10367262,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10367262 Not available,account related issue payment query.. payment query field support auto close sub tt:10367262 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10268747,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10268747 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10268747 available
